12044853	15826870	1.0545
12044854	15826871	1.5249
12044855	15826923	2.3839
12044859	15827035	2.6599
108885077	15827282	2.3487
12044864	15827548	2.9588
12044865	15827547	2.317
12044869	15827255	2.7262
12044871	15827034	2.3455
12044873	15827063	2.4929
12044874	15828041	1.4222
12044876	15827184	2.3441
12044885	15827170	2.6523
12044886	15827171	2.0809
12044888	15828244	1.5594
12044896	15827108	2.3124
12044897	15827200	1.5231
12044898	15827854	1.8128
12044900	15828326	2.3102
12044903	15827298	3.1514
108885080	15827044	1.6547
12044911	15827281	1.852
12044918	15827231	2.3331
12044922	15827838	2.2845
12044923	15828441	3.451
12044924	15827340	1.6911
12044925	15827723	1.3669
12044929	15827557	2.8193
12044931	15827555	2.221
12044933	15828019	1.252
12044934	15828018	1.6652
12044935	15827040	2.1188
12044939	15828007	0.5492
12044940	15828006	0.8769
12044941	15828005	0.8463
108885083	15828446	2.7296
12044951	15827908	2.994
12044952	15827906	2.7426
12044954	15828461	2.3941
12044959	15827197	1.8288
12044978	15827289	1.8067
12044988	15827030	2.1511
12044989	15826927	2.5576
12044990	15827250	1.0795
12044991	15827796	2.4748
12044993	15827820	3.1071
12044994	15827818	1.7644
12045004	15828002	1.5737
12045005	15828001	2.3438
12045007	15827999	1.0905
12045008	15827998	0.6107
12045010	15827996	1.8822
12045011	15827995	1.3083
12045014	15827992	0.7098
12045016	15827990	0.932
12045018	15827988	1.4565
12045019	15827987	1.7481
12045021	15827985	1.6455
12045023	15827980	2.29
12045025	15827827	3.4951
12045028	15828062	0.9352
108885090	15828061	1.1067
12045030	15828059	1.8912
12045035	161723265	2.6689
12045040	15827534	1.5607
108885091	15827945	2.9495
12045046	15827734	2.5809
12045058	15827213	3.2812
12045061	15827611	2.8968
12045069	15827907	3.066
12045070	15827659	2.8824
12045077	15827426	2.4465
12045082	15827801	1.0479
12045084	15827930	1.0103
12045085	15827933	0.9947
12045086	15827932	0.7805
12045098	15826976	3.2672
12045103	15827492	2.3585
12045105	15827364	1.6648
12045107	15827673	2.6935
12045108	15827911	2.2538
12045113	15827565	1.7517
12045117	15827719	2.8203
12045118	15827876	2.5007
12045122	15826893	1.6751
12045127	15828281	2.4199
12045128	15827386	2.3366
12045134	15827167	3.3891
12045139	15827816	2.352
12045148	15827174	2.6448
12045151	15827913	2.5891
12045153	15827857	2.3634
12045154	15827858	3.1664
108885101	15827220	1.7191
12045157	15827219	1.0359
12045161	15828350	1.0347
12045167	15828060	1.9261
12045182	15827183	2.6976
12045187	15827717	2.3463
12045188	15827716	2.3232
12045191	15827774	2.2107
12045195	15827373	2.9079
12045198	15827469	1.4809
108885105	15828009	1.6733
12045200	15828010	1.373
108885106	15827608	3.7514
12045211	15827013	2.2638
12045215	15828345	1.1377
12045219	15827160	2.0305
12045236	15827147	2.4615
12045239	15827558	2.5556
12045245	15827767	2.1963
12045253	15827389	2.5395
108885109	15827082	1.3204
12045256	15828055	1.2705
12045258	15827780	1.7234
12045261	15827576	0.7843
12045262	15827575	2.7783
12045263	15827574	1.1638
12045269	15827047	1.1341
12045270	15828428	1.9154
12045272	15828171	1.261
12045277	15827098	1.4924
12045278	15827097	1.6194
108885112	15828258	3.7533
12045281	15827727	1.1325
12045285	15827355	2.9351
12045291	15827221	2.1405
12045293	15827837	2.5501
12045294	15827835	2.5848
12045295	15827834	2.1572
12045303	15827849	1.1178
12045304	15827850	1.9265
12045310	15828004	0.5759
12045312	15826994	2.1055
108885117	15827703	2.0632
12045316	15827019	1.5249
12045317	15827016	2.3548
12045321	15827897	2.3566
12045328	15827279	1.9569
12045329	15826866	3.0647
